n,input_graph6,output_graph6,case,move,N_old,R_old,N_new,R_new,cross_score,mean_gain
17,PhCP?C__??_@?A?C??G?_?C?,PhCP@?__??_@?A?C??G?_?C?,leaf_degree_two,pendant_path_fold,2094,20762,2723,27333,700376,350188/2850981
17,PhCP?C__??_@?A?C??G?__??,PhCP@?__??_@?A?C??G?__??,leaf_degree_two,pendant_path_fold,2096,20827,2735,27469,613179,613179/5732560
17,PhCP?C__??_@?A?C??K????C,PhCP@?__??_@?A?C??K????C,leaf_degree_two,pendant_path_fold,1634,16012,2133,21130,372824,186412/1742661
17,PhCP?C__??_@?A?C??K??_??,PhCP@?__??_@?A?C??K??_??,leaf_degree_two,pendant_path_fold,2145,21226,2804,28020,585196,146299/1503645
17,PhCP?C__??_@?A?C?A??_?C?,PhCP@?__??_@?A?C?A??_?C?,leaf_degree_two,pendant_path_fold,2753,27516,3582,36227,1170619,1170619/9861246
17,PhCP?C__??_@?A?C?A??__??,PhCP@?__??_@?A?C?A??__??,leaf_degree_two,pendant_path_fold,2745,27530,3584,36312,1008920,25223/245952
17,PhCP?C__??_@?A?C?AC????C,PhCP@?__??_@?A?C?AC????C,leaf_degree_two,pendant_path_fold,2118,21026,2767,27749,593440,296720/2930253
17,PhCP?C__??_@?A?C?AC??_??,PhCP@?__??_@?A?C?AC??_??,leaf_degree_two,pendant_path_fold,2789,27906,3648,36840,945672,39403/423928
17,PhCP?C__??_@?A?CO???@??C,PhCP@?__??_@?A?CO???@??C,leaf_degree_two,pendant_path_fold,1502,14608,1961,19282,315276,157638/1472711
17,PhCP?C__??_@?A?CO???@??G,PhCP@?__??_@?A?CO???@??G,leaf_degree_two,pendant_path_fold,1854,18350,2423,24225,451100,225550/2246121
17,PhCP?C__??_@?A?CO???@_??,PhCP@?__??_@?A?CO???@_??,leaf_degree_two,pendant_path_fold,2204,21735,2883,28701,594999,198333/2118044
17,PhCP?C__??_@?A?CO?C??_??,PhCP@?__??_@?A?CO?C??_??,leaf_degree_two,pendant_path_fold,2907,28865,3806,38123,963371,963371/11064042
17,PhCP?C__??_@?A_???G?@??G,PhCP@?__??_@?A_???G?@??G,leaf_degree_two,pendant_path_fold,1245,12026,1624,15872,230416,28802/252735
17,PhCP?C__??_@?A_???G?@??O,PhCP@?__??_@?A_???G?@??O,leaf_degree_two,pendant_path_fold,1436,13939,1875,18401,288211,288211/2692500
17,PhCP?C__??_@?A_???G?@_??,PhCP@?__??_@?A_???G?@_??,leaf_degree_two,pendant_path_fold,1625,15654,2124,20672,342904,85726/862875
17,PhCP?C__??_@?A_???G?A??O,PhCP@?__??_@?A_???G?A??O,leaf_degree_two,pendant_path_fold,1821,17966,2380,23720,435040,21752/216699
17,PhCP?C__??_@?A_???G?A_??,PhCP@?__??_@?A_???G?A_??,leaf_degree_two,pendant_path_fold,2009,19678,2628,25988,496108,1699/18081
17,PhCP?C__??_@?A_???K????C,PhCP@?__??_@?A_???K????C,leaf_degree_two,pendant_path_fold,1816,17567,2375,23201,411391,411391/4313000
